symbol,timestamp,datetime,side,price,amount,btc_volume
QSP/BTC,1598724009824,2020-08-29T18:00:09.824Z,buy,3.64e-06,28.0,0.00010192
QSP/BTC,1598724037927,2020-08-29T18:00:37.927Z,buy,3.64e-06,510.0,0.0018564
QSP/BTC,1598724047282,2020-08-29T18:00:47.282Z,buy,3.64e-06,875.0,0.003185
QSP/BTC,1598724051535,2020-08-29T18:00:51.535Z,buy,3.65e-06,410.0,0.0014965
QSP/BTC,1598724081880,2020-08-29T18:01:21.880Z,sell,3.64e-06,543.0,0.00197652
QSP/BTC,1598724098684,2020-08-29T18:01:38.684Z,buy,3.65e-06,477.0,0.00174105
QSP/BTC,1598724108658,2020-08-29T18:01:48.658Z,buy,3.65e-06,547.0,0.00199655
QSP/BTC,1598724168611,2020-08-29T18:02:48.611Z,buy,3.65e-06,174.0,0.0006351
QSP/BTC,1598724210869,2020-08-29T18:03:30.869Z,sell,3.64e-06,92500.0,0.3367
QSP/BTC,1598724250237,2020-08-29T18:04:10.237Z,buy,3.65e-06,83.0,0.00030295
QSP/BTC,1598724314216,2020-08-29T18:05:14.216Z,sell,3.64e-06,126.0,0.0004586399999999
QSP/BTC,1598724314216,2020-08-29T18:05:14.216Z,sell,3.63e-06,1056.0,0.00383328
QSP/BTC,1598724314216,2020-08-29T18:05:14.216Z,sell,3.62e-06,315.0,0.0011403
QSP/BTC,1598724316433,2020-08-29T18:05:16.433Z,buy,3.65e-06,39.0,0.00014235
QSP/BTC,1598724320678,2020-08-29T18:05:20.678Z,sell,3.64e-06,33.0,0.00012012
QSP/BTC,1598724320678,2020-08-29T18:05:20.678Z,sell,3.63e-06,24.0,8.711999999999999e-05
QSP/BTC,1598724335875,2020-08-29T18:05:35.875Z,buy,3.64e-06,10.0,3.64e-05
QSP/BTC,1598724389254,2020-08-29T18:06:29.254Z,buy,3.65e-06,83.0,0.00030295
QSP/BTC,1598724427612,2020-08-29T18:07:07.612Z,buy,3.65e-06,62.0,0.0002263
QSP/BTC,1598724427612,2020-08-29T18:07:07.612Z,buy,3.67e-06,1469.0,0.00539123
QSP/BTC,1598724446028,2020-08-29T18:07:26.028Z,sell,3.64e-06,543.0,0.00197652
QSP/BTC,1598724568602,2020-08-29T18:09:28.602Z,buy,3.64e-06,5343.0,0.01944852
QSP/BTC,1598724568613,2020-08-29T18:09:28.613Z,sell,3.64e-06,1521.0,0.00553644
QSP/BTC,1598724615129,2020-08-29T18:10:15.129Z,sell,3.65e-06,83.0,0.00030295
QSP/BTC,1598724616826,2020-08-29T18:10:16.826Z,sell,3.65e-06,83.0,0.00030295
QSP/BTC,1598724624135,2020-08-29T18:10:24.135Z,sell,3.65e-06,7658.0,0.0279517
QSP/BTC,1598724637644,2020-08-29T18:10:37.644Z,buy,3.67e-06,137.0,0.00050279
QSP/BTC,1598724686185,2020-08-29T18:11:26.185Z,buy,3.67e-06,82.0,0.00030094
QSP/BTC,1598724740621,2020-08-29T18:12:20.621Z,buy,3.67e-06,1154.0,0.00423518
QSP/BTC,1598724758488,2020-08-29T18:12:38.488Z,buy,3.67e-06,2300.0,0.008441
QSP/BTC,1598724804729,2020-08-29T18:13:24.729Z,sell,3.65e-06,2439.0,0.00890235
QSP/BTC,1598724863066,2020-08-29T18:14:23.066Z,sell,3.65e-06,543.0,0.00198195
QSP/BTC,1598724921397,2020-08-29T18:15:21.397Z,sell,3.66e-06,32.0,0.00011712
QSP/BTC,1598724966051,2020-08-29T18:16:06.051Z,sell,3.66e-06,10.0,3.66e-05
QSP/BTC,1598724966051,2020-08-29T18:16:06.051Z,sell,3.65e-06,73.0,0.00026645
QSP/BTC,1598724968363,2020-08-29T18:16:08.363Z,sell,3.65e-06,83.0,0.00030295
QSP/BTC,1598724996332,2020-08-29T18:16:36.332Z,sell,3.65e-06,8152.0,0.0297548
QSP/BTC,1598724996332,2020-08-29T18:16:36.332Z,sell,3.64e-06,79509.0,0.28941276
QSP/BTC,1598724998691,2020-08-29T18:16:38.691Z,sell,3.64e-06,112.0,0.00040768
QSP/BTC,1598725086774,2020-08-29T18:18:06.774Z,buy,3.67e-06,9941.0,0.03648347
QSP/BTC,1598725185305,2020-08-29T18:19:45.305Z,sell,3.64e-06,541.0,0.00196924
QSP/BTC,1598725214997,2020-08-29T18:20:14.997Z,sell,3.64e-06,7862.0,0.02861768
QSP/BTC,1598725214997,2020-08-29T18:20:14.997Z,sell,3.63e-06,3892.0,0.01412796
QSP/BTC,1598725214997,2020-08-29T18:20:14.997Z,sell,3.62e-06,28172.0,0.10198264
QSP/BTC,1598725214997,2020-08-29T18:20:14.997Z,sell,3.61e-06,1442.0,0.00520562
QSP/BTC,1598725347889,2020-08-29T18:22:27.889Z,sell,3.61e-06,2890.0,0.0104329
QSP/BTC,1598725348072,2020-08-29T18:22:28.072Z,sell,3.61e-06,366.0,0.00132126
QSP/BTC,1598725348072,2020-08-29T18:22:28.072Z,sell,3.6e-06,2524.0,0.0090864
QSP/BTC,1598725348072,2020-08-29T18:22:28.072Z,sell,3.6e-06,300.0,0.00108
QSP/BTC,1598725358888,2020-08-29T18:22:38.888Z,sell,3.62e-06,5882.0,0.02129284
QSP/BTC,1598725439712,2020-08-29T18:23:59.712Z,sell,3.62e-06,1472.0,0.00532864
QSP/BTC,1598725490487,2020-08-29T18:24:50.487Z,sell,3.62e-06,4351.0,0.01575062
QSP/BTC,1598725531068,2020-08-29T18:25:31.068Z,buy,3.63e-06,295.0,0.00107085
QSP/BTC,1598725554904,2020-08-29T18:25:54.904Z,sell,3.62e-06,8365.0,0.0302813
QSP/BTC,1598725554904,2020-08-29T18:25:54.904Z,sell,3.61e-06,7138.0,0.02576818
QSP/BTC,1598725554904,2020-08-29T18:25:54.904Z,sell,3.6e-06,6952.0,0.0250272
QSP/BTC,1598725571142,2020-08-29T18:26:11.142Z,sell,3.61e-06,1609.0,0.00580849
QSP/BTC,1598725571142,2020-08-29T18:26:11.142Z,sell,3.6e-06,3731.0,0.0134316
QSP/BTC,1598725619597,2020-08-29T18:26:59.597Z,sell,3.61e-06,550.0,0.0019855
QSP/BTC,1598725713057,2020-08-29T18:28:33.057Z,buy,3.62e-06,9.0,3.258e-05
QSP/BTC,1598725821563,2020-08-29T18:30:21.563Z,sell,3.61e-06,163.0,0.00058843
QSP/BTC,1598725899101,2020-08-29T18:31:39.101Z,buy,3.63e-06,36.0,0.00013068
QSP/BTC,1598725902380,2020-08-29T18:31:42.380Z,sell,3.62e-06,45.0,0.0001629
QSP/BTC,1598725920510,2020-08-29T18:32:00.510Z,sell,3.61e-06,109.0,0.00039349
QSP/BTC,1598725950079,2020-08-29T18:32:30.079Z,sell,3.61e-06,32369.0,0.11685209
