symbol,timestamp,datetime,side,price,amount,btc_volume
RDN/BTC,1555088812844,2019-04-12T17:06:52.844Z,sell,6.528e-05,210.0,0.0137088
RDN/BTC,1555088825676,2019-04-12T17:07:05.676Z,buy,6.528e-05,127.0,0.00829056
RDN/BTC,1555089033262,2019-04-12T17:10:33.262Z,sell,6.528e-05,31.0,0.00202368
RDN/BTC,1555089034221,2019-04-12T17:10:34.221Z,sell,6.526e-05,111.0,0.0072438599999999
RDN/BTC,1555089036761,2019-04-12T17:10:36.761Z,sell,6.526e-05,232.0,0.0151403199999999
RDN/BTC,1555089305556,2019-04-12T17:15:05.556Z,sell,6.526e-05,30.0,0.0019578
RDN/BTC,1555089531252,2019-04-12T17:18:51.252Z,buy,6.54e-05,119.0,0.0077826
RDN/BTC,1555089533817,2019-04-12T17:18:53.817Z,buy,6.541e-05,126.0,0.00824166
RDN/BTC,1555089699838,2019-04-12T17:21:39.838Z,buy,6.541e-05,16.0,0.00104656
RDN/BTC,1555089699838,2019-04-12T17:21:39.838Z,buy,6.547e-05,16.0,0.00104752
RDN/BTC,1555089699838,2019-04-12T17:21:39.838Z,buy,6.549e-05,105.0,0.00687645
RDN/BTC,1555089699838,2019-04-12T17:21:39.838Z,buy,6.552e-05,15.0,0.0009828
RDN/BTC,1555089753188,2019-04-12T17:22:33.188Z,sell,6.526e-05,38.0,0.00247988
RDN/BTC,1555089775990,2019-04-12T17:22:55.990Z,buy,6.552e-05,109.0,0.0071416799999999
RDN/BTC,1555089874869,2019-04-12T17:24:34.869Z,buy,6.552e-05,823.0,0.05392296
RDN/BTC,1555089883565,2019-04-12T17:24:43.565Z,buy,6.552e-05,474.0,0.0310564799999999
RDN/BTC,1555089891881,2019-04-12T17:24:51.881Z,buy,6.552e-05,237.0,0.0155282399999999
RDN/BTC,1555089891881,2019-04-12T17:24:51.881Z,buy,6.553e-05,2447.0,0.16035191
RDN/BTC,1555089891990,2019-04-12T17:24:51.990Z,sell,6.553e-05,116.0,0.00760148
RDN/BTC,1555089905793,2019-04-12T17:25:05.793Z,sell,6.527e-05,17.0,0.00110959
RDN/BTC,1555089905866,2019-04-12T17:25:05.866Z,buy,6.554e-05,456.0,0.02988624
RDN/BTC,1555089913394,2019-04-12T17:25:13.394Z,buy,6.559e-05,23.0,0.00150857
RDN/BTC,1555089913394,2019-04-12T17:25:13.394Z,buy,6.561e-05,129.0,0.00846369
RDN/BTC,1555089934058,2019-04-12T17:25:34.058Z,buy,6.567e-05,695.0,0.04564065
RDN/BTC,1555089934058,2019-04-12T17:25:34.058Z,buy,6.568e-05,30.0,0.0019703999999999
RDN/BTC,1555089934058,2019-04-12T17:25:34.058Z,buy,6.569e-05,4775.0,0.31366975
RDN/BTC,1555089950543,2019-04-12T17:25:50.543Z,buy,6.569e-05,44.0,0.00289036
RDN/BTC,1555089950543,2019-04-12T17:25:50.543Z,buy,6.571e-05,190.0,0.0124849
RDN/BTC,1555089950589,2019-04-12T17:25:50.589Z,sell,6.571e-05,58.0,0.00381118
RDN/BTC,1555089950650,2019-04-12T17:25:50.650Z,sell,6.571e-05,21.0,0.00137991
RDN/BTC,1555089951906,2019-04-12T17:25:51.906Z,buy,6.577e-05,158.0,0.01039166
RDN/BTC,1555089954873,2019-04-12T17:25:54.873Z,sell,6.571e-05,36.0,0.00236556
RDN/BTC,1555089955988,2019-04-12T17:25:55.988Z,sell,6.572e-05,122.0,0.00801784
RDN/BTC,1555089955988,2019-04-12T17:25:55.988Z,sell,6.571e-05,642.0,0.04218582
RDN/BTC,1555089977987,2019-04-12T17:26:17.987Z,buy,6.564e-05,20.0,0.0013128
RDN/BTC,1555089986201,2019-04-12T17:26:26.201Z,sell,6.567e-05,35.0,0.00229845
RDN/BTC,1555089991593,2019-04-12T17:26:31.593Z,sell,6.566e-05,230.0,0.0151018
RDN/BTC,1555089991593,2019-04-12T17:26:31.593Z,sell,6.553e-05,106.0,0.00694618
RDN/BTC,1555090001866,2019-04-12T17:26:41.866Z,buy,6.579e-05,41.0,0.00269739
RDN/BTC,1555090001866,2019-04-12T17:26:41.866Z,buy,6.588e-05,309.0,0.02035692
RDN/BTC,1555090001932,2019-04-12T17:26:41.932Z,sell,6.588e-05,18.0,0.00118584
RDN/BTC,1555090002197,2019-04-12T17:26:42.197Z,sell,6.588e-05,245.0,0.0161406
RDN/BTC,1555090002416,2019-04-12T17:26:42.416Z,sell,6.588e-05,888.0,0.05850144
RDN/BTC,1555090002424,2019-04-12T17:26:42.424Z,sell,6.588e-05,705.0,0.0464454
