symbol,timestamp,datetime,side,price,amount,btc_volume
SNGLS/BTC,1521050584670,2018-03-14T18:03:04.670Z,sell,7.91e-06,2122.0,0.01678502
SNGLS/BTC,1521050612383,2018-03-14T18:03:32.383Z,buy,7.93e-06,44.0,0.00034892
SNGLS/BTC,1521050635376,2018-03-14T18:03:55.376Z,buy,7.93e-06,1261.0,0.00999973
SNGLS/BTC,1521050648013,2018-03-14T18:04:08.013Z,buy,7.93e-06,10040.0,0.0796172
SNGLS/BTC,1521050678791,2018-03-14T18:04:38.791Z,sell,7.93e-06,3133.0,0.02484469
SNGLS/BTC,1521050729645,2018-03-14T18:05:29.645Z,sell,7.93e-06,2185.0,0.01732705
SNGLS/BTC,1521050732097,2018-03-14T18:05:32.097Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521050733542,2018-03-14T18:05:33.542Z,buy,7.94e-06,4200.0,0.033348
SNGLS/BTC,1521050739168,2018-03-14T18:05:39.168Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521050788177,2018-03-14T18:06:28.177Z,buy,7.94e-06,6000.0,0.04764
SNGLS/BTC,1521050791666,2018-03-14T18:06:31.666Z,buy,7.94e-06,793.0,0.00629642
SNGLS/BTC,1521050808057,2018-03-14T18:06:48.057Z,sell,7.93e-06,496.0,0.00393328
SNGLS/BTC,1521050812263,2018-03-14T18:06:52.263Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521050813148,2018-03-14T18:06:53.148Z,sell,7.93e-06,337.0,0.00267241
SNGLS/BTC,1521050853425,2018-03-14T18:07:33.425Z,sell,7.93e-06,624.0,0.00494832
SNGLS/BTC,1521050898232,2018-03-14T18:08:18.232Z,sell,7.93e-06,261.0,0.00206973
SNGLS/BTC,1521050899112,2018-03-14T18:08:19.112Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521050934159,2018-03-14T18:08:54.159Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521050962195,2018-03-14T18:09:22.195Z,buy,7.94e-06,555.0,0.0044067
SNGLS/BTC,1521050964225,2018-03-14T18:09:24.225Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521050973186,2018-03-14T18:09:33.186Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051028077,2018-03-14T18:10:28.077Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051029075,2018-03-14T18:10:29.075Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051056940,2018-03-14T18:10:56.940Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051064755,2018-03-14T18:11:04.755Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051093151,2018-03-14T18:11:33.151Z,buy,7.94e-06,232.0,0.00184208
SNGLS/BTC,1521051106632,2018-03-14T18:11:46.632Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051106643,2018-03-14T18:11:46.643Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051106645,2018-03-14T18:11:46.645Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051106673,2018-03-14T18:11:46.673Z,buy,7.94e-06,210.0,0.0016674
SNGLS/BTC,1521051106762,2018-03-14T18:11:46.762Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051108139,2018-03-14T18:11:48.139Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051147143,2018-03-14T18:12:27.143Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051148177,2018-03-14T18:12:28.177Z,buy,7.94e-06,1259.0,0.00999646
SNGLS/BTC,1521051149083,2018-03-14T18:12:29.083Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051160337,2018-03-14T18:12:40.337Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051161777,2018-03-14T18:12:41.777Z,sell,7.93e-06,209.0,0.00165737
SNGLS/BTC,1521051195213,2018-03-14T18:13:15.213Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051213280,2018-03-14T18:13:33.280Z,buy,7.94e-06,209.0,0.00165946
SNGLS/BTC,1521051242022,2018-03-14T18:14:02.022Z,buy,7.94e-06,493.0,0.00391442
