symbol,timestamp,datetime,side,price,amount,btc_volume
STEEM/BTC,1609952406029,2021-01-06T17:00:06.029Z,sell,5.23e-06,45.0,0.00023535
STEEM/BTC,1609952410541,2021-01-06T17:00:10.541Z,sell,5.22e-06,1592.0,0.00831024
STEEM/BTC,1609952410654,2021-01-06T17:00:10.654Z,buy,5.22e-06,328.0,0.00171216
STEEM/BTC,1609952410701,2021-01-06T17:00:10.701Z,buy,5.22e-06,328.0,0.00171216
STEEM/BTC,1609952410734,2021-01-06T17:00:10.734Z,buy,5.22e-06,76.0,0.00039672
STEEM/BTC,1609952410829,2021-01-06T17:00:10.829Z,buy,5.22e-06,5385.0,0.0281097
STEEM/BTC,1609952432824,2021-01-06T17:00:32.824Z,sell,5.21e-06,729.0,0.00379809
STEEM/BTC,1609952469240,2021-01-06T17:01:09.240Z,buy,5.23e-06,930.0,0.0048639
STEEM/BTC,1609952474398,2021-01-06T17:01:14.398Z,buy,5.23e-06,662.0,0.00346226
STEEM/BTC,1609952506069,2021-01-06T17:01:46.069Z,sell,5.21e-06,470.0,0.0024487
STEEM/BTC,1609952514709,2021-01-06T17:01:54.709Z,sell,5.21e-06,25.0,0.00013025
STEEM/BTC,1609952543252,2021-01-06T17:02:23.252Z,buy,5.22e-06,470.0,0.0024534
STEEM/BTC,1609952543252,2021-01-06T17:02:23.252Z,buy,5.23e-06,25.0,0.00013075
STEEM/BTC,1609952543252,2021-01-06T17:02:23.252Z,buy,5.24e-06,2881.0,0.01509644
STEEM/BTC,1609952555563,2021-01-06T17:02:35.563Z,sell,5.21e-06,435.0,0.00226635
STEEM/BTC,1609952555563,2021-01-06T17:02:35.563Z,sell,5.2e-06,305.0,0.001586
STEEM/BTC,1609952573512,2021-01-06T17:02:53.512Z,buy,5.21e-06,255.0,0.00132855
STEEM/BTC,1609952573678,2021-01-06T17:02:53.678Z,sell,5.2e-06,247.0,0.0012844
STEEM/BTC,1609952591089,2021-01-06T17:03:11.089Z,buy,5.2e-06,36.0,0.0001872
STEEM/BTC,1609952673105,2021-01-06T17:04:33.105Z,buy,5.22e-06,116.0,0.00060552
STEEM/BTC,1609952755599,2021-01-06T17:05:55.599Z,buy,5.22e-06,365.0,0.0019053
STEEM/BTC,1609952755599,2021-01-06T17:05:55.599Z,buy,5.23e-06,344.0,0.00179912
STEEM/BTC,1609952755599,2021-01-06T17:05:55.599Z,buy,5.24e-06,327.0,0.0017134799999999
STEEM/BTC,1609952799032,2021-01-06T17:06:39.032Z,buy,5.21e-06,39.0,0.00020319
STEEM/BTC,1609952799069,2021-01-06T17:06:39.069Z,buy,5.22e-06,27.0,0.00014094
