symbol,timestamp,datetime,side,price,amount,btc_volume
STPT/BTC,1598544256358,2020-08-27T16:04:16.358Z,buy,2.61e-06,12.0,3.132e-05
STPT/BTC,1598544501034,2020-08-27T16:08:21.034Z,buy,2.61e-06,13.0,3.393e-05
STPT/BTC,1598544582567,2020-08-27T16:09:42.567Z,sell,2.6e-06,1067.0,0.0027742
STPT/BTC,1598544657776,2020-08-27T16:10:57.776Z,buy,2.61e-06,11.0,2.871e-05
STPT/BTC,1598544685816,2020-08-27T16:11:25.816Z,buy,2.61e-06,14.0,3.654e-05
STPT/BTC,1598544839523,2020-08-27T16:13:59.523Z,buy,2.61e-06,1401.0,0.00365661
STPT/BTC,1598545001392,2020-08-27T16:16:41.392Z,sell,2.6e-06,2279.0,0.0059254
STPT/BTC,1598545027573,2020-08-27T16:17:07.573Z,buy,2.61e-06,13.0,3.393e-05
STPT/BTC,1598545045415,2020-08-27T16:17:25.415Z,buy,2.61e-06,5510.0,0.0143811
STPT/BTC,1598545057300,2020-08-27T16:17:37.300Z,sell,2.6e-06,5971.0,0.0155246
STPT/BTC,1598545146461,2020-08-27T16:19:06.461Z,buy,2.61e-06,12.0,3.132e-05
STPT/BTC,1598545193673,2020-08-27T16:19:53.673Z,buy,2.61e-06,7608.0,0.01985688
STPT/BTC,1598545255980,2020-08-27T16:20:55.980Z,buy,2.61e-06,11.0,2.871e-05
STPT/BTC,1598545256219,2020-08-27T16:20:56.219Z,buy,2.61e-06,9000.0,0.02349
STPT/BTC,1598545286294,2020-08-27T16:21:26.294Z,sell,2.6e-06,4565.0,0.011869
STPT/BTC,1598545347096,2020-08-27T16:22:27.096Z,buy,2.61e-06,7023.0,0.01833003
STPT/BTC,1598545347105,2020-08-27T16:22:27.105Z,buy,2.61e-06,388.0,0.00101268
STPT/BTC,1598545347113,2020-08-27T16:22:27.113Z,buy,2.61e-06,6470.0,0.0168867
STPT/BTC,1598545398905,2020-08-27T16:23:18.905Z,buy,2.61e-06,157.0,0.00040977
STPT/BTC,1598545524182,2020-08-27T16:25:24.182Z,buy,2.61e-06,2511.0,0.00655371
STPT/BTC,1598545525471,2020-08-27T16:25:25.471Z,sell,2.61e-06,4628.0,0.01207908
STPT/BTC,1598545545639,2020-08-27T16:25:45.639Z,sell,2.61e-06,1079.0,0.00281619
STPT/BTC,1598545545639,2020-08-27T16:25:45.639Z,sell,2.6e-06,15638.0,0.0406588
STPT/BTC,1598545545647,2020-08-27T16:25:45.647Z,buy,2.6e-06,405.0,0.001053
STPT/BTC,1598545545649,2020-08-27T16:25:45.649Z,buy,2.6e-06,1016.0,0.0026416
STPT/BTC,1598545545649,2020-08-27T16:25:45.649Z,buy,2.6e-06,50735.0,0.131911
STPT/BTC,1598545630992,2020-08-27T16:27:10.992Z,sell,2.6e-06,986.0,0.0025636
STPT/BTC,1598545659935,2020-08-27T16:27:39.935Z,sell,2.6e-06,3846.0,0.0099996
STPT/BTC,1598545683525,2020-08-27T16:28:03.525Z,sell,2.6e-06,994.0,0.0025844
STPT/BTC,1598545686555,2020-08-27T16:28:06.555Z,sell,2.59e-06,3831.0,0.00992229
STPT/BTC,1598545704854,2020-08-27T16:28:24.854Z,buy,2.6e-06,11.0,2.86e-05
STPT/BTC,1598545722286,2020-08-27T16:28:42.286Z,sell,2.59e-06,3700.0,0.009583
STPT/BTC,1598545758329,2020-08-27T16:29:18.329Z,buy,2.6e-06,1891.0,0.0049166
STPT/BTC,1598545844312,2020-08-27T16:30:44.312Z,sell,2.59e-06,5216.0,0.01350944
STPT/BTC,1598546150731,2020-08-27T16:35:50.731Z,buy,2.6e-06,14.0,3.64e-05
STPT/BTC,1598546189944,2020-08-27T16:36:29.944Z,sell,2.59e-06,11583.0,0.02999997
STPT/BTC,1598546189944,2020-08-27T16:36:29.944Z,sell,2.58e-06,22019.0,0.0568090199999999
STPT/BTC,1598546190967,2020-08-27T16:36:30.967Z,sell,2.59e-06,759.0,0.00196581
STPT/BTC,1598546192332,2020-08-27T16:36:32.332Z,sell,2.59e-06,145.0,0.00037555
STPT/BTC,1598546208392,2020-08-27T16:36:48.392Z,buy,2.59e-06,885.0,0.00229215
STPT/BTC,1598546208521,2020-08-27T16:36:48.521Z,buy,2.59e-06,265.0,0.00068635
STPT/BTC,1598546232500,2020-08-27T16:37:12.500Z,sell,2.59e-06,709.0,0.00183631
STPT/BTC,1598546232500,2020-08-27T16:37:12.500Z,sell,2.58e-06,3867.0,0.0099768599999999
STPT/BTC,1598546246908,2020-08-27T16:37:26.908Z,sell,2.59e-06,774.0,0.00200466
STPT/BTC,1598546253387,2020-08-27T16:37:33.387Z,buy,2.59e-06,661.0,0.00171199
STPT/BTC,1598546347611,2020-08-27T16:39:07.611Z,buy,2.59e-06,784.0,0.00203056
STPT/BTC,1598546357286,2020-08-27T16:39:17.286Z,sell,2.58e-06,4255.0,0.0109778999999999
STPT/BTC,1598546358677,2020-08-27T16:39:18.677Z,buy,2.59e-06,621.0,0.00160839
STPT/BTC,1598546360258,2020-08-27T16:39:20.258Z,buy,2.59e-06,66.0,0.00017094
