symbol,timestamp,datetime,side,price,amount,btc_volume
SYS/BTC,1581703251982,2020-02-14T18:00:51.982Z,buy,3.57e-06,6722.0,0.02399754
SYS/BTC,1581703262335,2020-02-14T18:01:02.335Z,sell,3.56e-06,2222.0,0.00791032
SYS/BTC,1581703460458,2020-02-14T18:04:20.458Z,sell,3.56e-06,6635.0,0.0236206
SYS/BTC,1581703652286,2020-02-14T18:07:32.286Z,buy,3.57e-06,766.0,0.00273462
SYS/BTC,1581703911153,2020-02-14T18:11:51.153Z,sell,3.56e-06,4694.0,0.01671064
SYS/BTC,1581703946272,2020-02-14T18:12:26.272Z,sell,3.56e-06,3521.0,0.0125347599999999
SYS/BTC,1581704070653,2020-02-14T18:14:30.653Z,buy,3.57e-06,5500.0,0.019635
SYS/BTC,1581704090918,2020-02-14T18:14:50.918Z,buy,3.57e-06,181.0,0.00064617
SYS/BTC,1581704182490,2020-02-14T18:16:22.490Z,sell,3.56e-06,2641.0,0.00940196
SYS/BTC,1581704667262,2020-02-14T18:24:27.262Z,sell,3.56e-06,2228.0,0.00793168
SYS/BTC,1581704667932,2020-02-14T18:24:27.932Z,sell,3.56e-06,2443.0,0.00869708
SYS/BTC,1581704668401,2020-02-14T18:24:28.401Z,sell,3.56e-06,535.0,0.0019045999999999
SYS/BTC,1581704668793,2020-02-14T18:24:28.793Z,sell,3.56e-06,691.0,0.0024599599999999
SYS/BTC,1581704742330,2020-02-14T18:25:42.330Z,sell,3.56e-06,3999.0,0.01423644
SYS/BTC,1581704742330,2020-02-14T18:25:42.330Z,sell,3.55e-06,2045.0,0.00725975
SYS/BTC,1581704742330,2020-02-14T18:25:42.330Z,sell,3.54e-06,20249.0,0.07168146
SYS/BTC,1581704961069,2020-02-14T18:29:21.069Z,sell,3.55e-06,29.0,0.00010295
SYS/BTC,1581704966183,2020-02-14T18:29:26.183Z,buy,3.55e-06,1025.0,0.00363875
SYS/BTC,1581705020143,2020-02-14T18:30:20.143Z,buy,3.55e-06,703.0,0.00249565
SYS/BTC,1581705032490,2020-02-14T18:30:32.490Z,buy,3.55e-06,93.0,0.00033015
SYS/BTC,1581705046100,2020-02-14T18:30:46.100Z,buy,3.55e-06,312.0,0.0011076
SYS/BTC,1581705122957,2020-02-14T18:32:02.957Z,sell,3.54e-06,17485.0,0.0618969
SYS/BTC,1581705427151,2020-02-14T18:37:07.151Z,buy,3.56e-06,1389.0,0.00494484
SYS/BTC,1581705466927,2020-02-14T18:37:46.927Z,sell,3.54e-06,6686.0,0.02366844
SYS/BTC,1581705480947,2020-02-14T18:38:00.947Z,buy,3.54e-06,85.0,0.0003009
SYS/BTC,1581705522364,2020-02-14T18:38:42.364Z,sell,3.53e-06,49260.0,0.1738878
SYS/BTC,1581705522374,2020-02-14T18:38:42.374Z,buy,3.53e-06,424.0,0.00149672
SYS/BTC,1581705527486,2020-02-14T18:38:47.486Z,buy,3.53e-06,2649.0,0.00935097
SYS/BTC,1581705529123,2020-02-14T18:38:49.123Z,buy,3.53e-06,6740.0,0.0237922
SYS/BTC,1581705570588,2020-02-14T18:39:30.588Z,sell,3.52e-06,11576.0,0.04074752
SYS/BTC,1581705625687,2020-02-14T18:40:25.687Z,buy,3.54e-06,1027.0,0.00363558
SYS/BTC,1581705625687,2020-02-14T18:40:25.687Z,buy,3.56e-06,1606.0,0.0057173599999999
SYS/BTC,1581705625687,2020-02-14T18:40:25.687Z,buy,3.57e-06,367.0,0.00131019
SYS/BTC,1581705632086,2020-02-14T18:40:32.086Z,buy,3.56e-06,157.0,0.00055892
SYS/BTC,1581705632103,2020-02-14T18:40:32.103Z,buy,3.56e-06,1579.0,0.00562124
SYS/BTC,1581705632103,2020-02-14T18:40:32.103Z,buy,3.57e-06,242.0,0.00086394
SYS/BTC,1581705636149,2020-02-14T18:40:36.149Z,sell,3.54e-06,42215.0,0.1494411
SYS/BTC,1581705666396,2020-02-14T18:41:06.396Z,sell,3.53e-06,2219.0,0.00783307
SYS/BTC,1581705666396,2020-02-14T18:41:06.396Z,sell,3.52e-06,12585.0,0.0442992
SYS/BTC,1581705666396,2020-02-14T18:41:06.396Z,sell,3.51e-06,5052.0,0.0177325199999999
SYS/BTC,1581705706164,2020-02-14T18:41:46.164Z,buy,3.54e-06,439.0,0.00155406
SYS/BTC,1581705778290,2020-02-14T18:42:58.290Z,sell,3.51e-06,561.0,0.00196911
SYS/BTC,1581705781237,2020-02-14T18:43:01.237Z,sell,3.51e-06,841.0,0.00295191
SYS/BTC,1581705783486,2020-02-14T18:43:03.486Z,sell,3.51e-06,842.0,0.00295542
SYS/BTC,1581705865872,2020-02-14T18:44:25.872Z,buy,3.54e-06,698.0,0.00247092
SYS/BTC,1581706023657,2020-02-14T18:47:03.657Z,sell,3.53e-06,1739.0,0.00613867
