symbol,timestamp,datetime,side,price,amount,btc_volume
TCT/BTC,1583078753155,2020-03-01T16:05:53.155Z,sell,9.3e-07,5376.0,0.00499968
TCT/BTC,1583079728547,2020-03-01T16:22:08.547Z,buy,9.4e-07,1156.0,0.00108664
TCT/BTC,1583080447751,2020-03-01T16:34:07.751Z,buy,9.4e-07,245.0,0.0002303
TCT/BTC,1583080495413,2020-03-01T16:34:55.413Z,sell,9.4e-07,4372.0,0.00410968
TCT/BTC,1583080506918,2020-03-01T16:35:06.918Z,buy,9.4e-07,107.0,0.00010058
TCT/BTC,1583080511364,2020-03-01T16:35:11.364Z,buy,9.4e-07,253.0,0.00023782
TCT/BTC,1583080550945,2020-03-01T16:35:50.945Z,sell,9.3e-07,42958.0,0.03995094
TCT/BTC,1583081663196,2020-03-01T16:54:23.196Z,sell,9.3e-07,24717.0,0.02298681
TCT/BTC,1583081914178,2020-03-01T16:58:34.178Z,sell,9.3e-07,19152.0,0.01781136
TCT/BTC,1583081914184,2020-03-01T16:58:34.184Z,sell,9.3e-07,4403.0,0.00409479
TCT/BTC,1583081944768,2020-03-01T16:59:04.768Z,sell,9.3e-07,211.0,0.00019623
TCT/BTC,1583081944768,2020-03-01T16:59:04.768Z,sell,9.3e-07,211.0,0.00019623
TCT/BTC,1583082575346,2020-03-01T17:09:35.346Z,sell,9.3e-07,30550.0,0.0284115
TCT/BTC,1583082575354,2020-03-01T17:09:35.354Z,buy,9.3e-07,187205.0,0.17410065
TCT/BTC,1583083622003,2020-03-01T17:27:02.003Z,sell,9.2e-07,25904.0,0.02383168
TCT/BTC,1583083627720,2020-03-01T17:27:07.720Z,sell,9.2e-07,10666.0,0.00981272
TCT/BTC,1583084568276,2020-03-01T17:42:48.276Z,sell,9.2e-07,3043.0,0.00279956
TCT/BTC,1583084568276,2020-03-01T17:42:48.276Z,sell,9.2e-07,3043.0,0.00279956
TCT/BTC,1583087103493,2020-03-01T18:25:03.493Z,buy,9.4e-07,10638.0,0.00999972
TCT/BTC,1583087452842,2020-03-01T18:30:52.842Z,buy,9.4e-07,1737.0,0.00163278
TCT/BTC,1583088041151,2020-03-01T18:40:41.151Z,sell,9.2e-07,20679.0,0.01902468
TCT/BTC,1583088041151,2020-03-01T18:40:41.151Z,sell,9.2e-07,20679.0,0.01902468
TCT/BTC,1583089156980,2020-03-01T18:59:16.980Z,sell,9.2e-07,179.0,0.00016468
TCT/BTC,1583090737313,2020-03-01T19:25:37.313Z,buy,9.3e-07,264603.0,0.24608079
TCT/BTC,1583090739989,2020-03-01T19:25:39.989Z,buy,9.3e-07,113866.0,0.10589538
TCT/BTC,1583090969602,2020-03-01T19:29:29.602Z,sell,9.3e-07,267.0,0.00024831
TCT/BTC,1583091224497,2020-03-01T19:33:44.497Z,sell,9.3e-07,58505.0,0.05440965
TCT/BTC,1583091224638,2020-03-01T19:33:44.638Z,sell,9.3e-07,21246.0,0.01975878
TCT/BTC,1583091263171,2020-03-01T19:34:23.171Z,sell,9.3e-07,6325.0,0.00588225
TCT/BTC,1583091263171,2020-03-01T19:34:23.171Z,sell,9.3e-07,6325.0,0.00588225
TCT/BTC,1583091907544,2020-03-01T19:45:07.544Z,buy,9.3e-07,27393.0,0.02547549
TCT/BTC,1583091907552,2020-03-01T19:45:07.552Z,sell,9.3e-07,57839.0,0.05379027
TCT/BTC,1583092375399,2020-03-01T19:52:55.399Z,buy,9.4e-07,158865.0,0.1493331
TCT/BTC,1583092375399,2020-03-01T19:52:55.399Z,buy,9.5e-07,11539.0,0.01096205
TCT/BTC,1583092375926,2020-03-01T19:52:55.926Z,sell,9.3e-07,10034.0,0.00933162
TCT/BTC,1583092375939,2020-03-01T19:52:55.939Z,sell,9.3e-07,221.0,0.00020553
TCT/BTC,1583092376149,2020-03-01T19:52:56.149Z,sell,9.3e-07,10254.0,0.00953622
TCT/BTC,1583092376350,2020-03-01T19:52:56.350Z,sell,9.3e-07,2521.0,0.00234453
TCT/BTC,1583092376467,2020-03-01T19:52:56.467Z,sell,9.3e-07,1924.0,0.00178932
TCT/BTC,1583092376508,2020-03-01T19:52:56.508Z,buy,9.4e-07,221.0,0.00020774
TCT/BTC,1583092376569,2020-03-01T19:52:56.569Z,sell,9.3e-07,14227.0,0.0132311099999999
TCT/BTC,1583092376626,2020-03-01T19:52:56.626Z,buy,9.4e-07,10012.0,0.00941128
TCT/BTC,1583092376770,2020-03-01T19:52:56.770Z,sell,9.3e-07,5053.0,0.00469929
TCT/BTC,1583092376862,2020-03-01T19:52:56.862Z,sell,9.3e-07,6600.0,0.006138
TCT/BTC,1583092376862,2020-03-01T19:52:56.862Z,sell,9.2e-07,1477.0,0.00135884
TCT/BTC,1583092377073,2020-03-01T19:52:57.073Z,sell,9.3e-07,5749.0,0.00534657
TCT/BTC,1583092380093,2020-03-01T19:53:00.093Z,sell,9.3e-07,5806.0,0.00539958
TCT/BTC,1583092382104,2020-03-01T19:53:02.104Z,sell,9.3e-07,5453.0,0.00507129
TCT/BTC,1583092385315,2020-03-01T19:53:05.315Z,buy,9.4e-07,1000.0,0.00094
TCT/BTC,1583092388537,2020-03-01T19:53:08.537Z,buy,9.4e-07,62632.0,0.05887408
TCT/BTC,1583092388549,2020-03-01T19:53:08.549Z,sell,9.4e-07,1000.0,0.00094
TCT/BTC,1583092443097,2020-03-01T19:54:03.097Z,buy,9.4e-07,28873.0,0.02714062
TCT/BTC,1583092443097,2020-03-01T19:54:03.097Z,buy,9.5e-07,14816.0,0.0140752
TCT/BTC,1583092443097,2020-03-01T19:54:03.097Z,buy,9.6e-07,72230.0,0.0693408
TCT/BTC,1583092443118,2020-03-01T19:54:03.118Z,sell,9.4e-07,1000.0,0.00094
TCT/BTC,1583092443119,2020-03-01T19:54:03.119Z,sell,9.4e-07,1000.0,0.00094
TCT/BTC,1583092443240,2020-03-01T19:54:03.240Z,sell,9.4e-07,2000.0,0.00188
TCT/BTC,1583092443338,2020-03-01T19:54:03.338Z,sell,9.4e-07,1250.0,0.001175
TCT/BTC,1583092443362,2020-03-01T19:54:03.362Z,sell,9.4e-07,1250.0,0.001175
TCT/BTC,1583092444190,2020-03-01T19:54:04.190Z,buy,9.4e-07,1250.0,0.001175
TCT/BTC,1583092444205,2020-03-01T19:54:04.205Z,sell,9.4e-07,8763.0,0.00823722
TCT/BTC,1583092444340,2020-03-01T19:54:04.340Z,sell,9.4e-07,2323.0,0.00218362
TCT/BTC,1583092444498,2020-03-01T19:54:04.498Z,buy,9.5e-07,10021.0,0.00951995
TCT/BTC,1583092445157,2020-03-01T19:54:05.157Z,buy,9.5e-07,225.0,0.00021375
TCT/BTC,1583092446390,2020-03-01T19:54:06.390Z,buy,9.5e-07,211.0,0.00020045
TCT/BTC,1583092466767,2020-03-01T19:54:26.767Z,buy,9.5e-07,1000.0,0.00095
TCT/BTC,1583092747189,2020-03-01T19:59:07.189Z,sell,9.4e-07,174.0,0.00016356
TCT/BTC,1583092752686,2020-03-01T19:59:12.686Z,sell,9.4e-07,48.0,4.512e-05
TCT/BTC,1583092801674,2020-03-01T20:00:01.674Z,sell,9.3e-07,14278.0,0.01327854
TCT/BTC,1583093030051,2020-03-01T20:03:50.051Z,buy,9.4e-07,8189.0,0.00769766
TCT/BTC,1583093134010,2020-03-01T20:05:34.010Z,buy,9.4e-07,4568.0,0.00429392
TCT/BTC,1583093134031,2020-03-01T20:05:34.031Z,sell,9.4e-07,13438.0,0.01263172
TCT/BTC,1583093134140,2020-03-01T20:05:34.140Z,sell,9.4e-07,25027.0,0.02352538
TCT/BTC,1583093161565,2020-03-01T20:06:01.565Z,buy,9.5e-07,16058.0,0.0152551
TCT/BTC,1583093161579,2020-03-01T20:06:01.579Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161579,2020-03-01T20:06:01.579Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161580,2020-03-01T20:06:01.580Z,sell,9.5e-07,20502.0,0.0194769
TCT/BTC,1583093161582,2020-03-01T20:06:01.582Z,sell,9.5e-07,4442.0,0.0042199
TCT/BTC,1583093166241,2020-03-01T20:06:06.241Z,sell,9.5e-07,15845.0,0.01505275
TCT/BTC,1583093174184,2020-03-01T20:06:14.184Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093174194,2020-03-01T20:06:14.194Z,sell,9.4e-07,4912.0,0.00461728
TCT/BTC,1583093175017,2020-03-01T20:06:15.017Z,sell,9.5e-07,13268.0,0.0126046
TCT/BTC,1583093175032,2020-03-01T20:06:15.032Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093175263,2020-03-01T20:06:15.263Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093175404,2020-03-01T20:06:15.404Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093175854,2020-03-01T20:06:15.854Z,sell,9.4e-07,1267.0,0.00119098
TCT/BTC,1583093180073,2020-03-01T20:06:20.073Z,sell,9.5e-07,10204.0,0.0096938
TCT/BTC,1583093180105,2020-03-01T20:06:20.105Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093183611,2020-03-01T20:06:23.611Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093183635,2020-03-01T20:06:23.635Z,buy,9.6e-07,36.0,3.4559999999999994e-05
TCT/BTC,1583093186638,2020-03-01T20:06:26.638Z,sell,9.5e-07,10313.0,0.00979735
TCT/BTC,1583093189898,2020-03-01T20:06:29.898Z,sell,9.5e-07,6887.0,0.00654265
TCT/BTC,1583093191081,2020-03-01T20:06:31.081Z,sell,9.5e-07,6887.0,0.00654265
TCT/BTC,1583093193005,2020-03-01T20:06:33.005Z,sell,9.5e-07,6887.0,0.00654265
TCT/BTC,1583093257547,2020-03-01T20:07:37.547Z,sell,9.4e-07,11237.0,0.01056278
TCT/BTC,1583093258355,2020-03-01T20:07:38.355Z,sell,9.3e-07,9478.0,0.00881454
TCT/BTC,1583093299351,2020-03-01T20:08:19.351Z,sell,9.3e-07,16507.0,0.01535151
TCT/BTC,1583093299362,2020-03-01T20:08:19.362Z,sell,9.3e-07,8798.0,0.00818214
TCT/BTC,1583093299556,2020-03-01T20:08:19.556Z,sell,9.3e-07,487.0,0.00045291
TCT/BTC,1583093299557,2020-03-01T20:08:19.557Z,sell,9.3e-07,390.0,0.0003627
TCT/BTC,1583093361641,2020-03-01T20:09:21.641Z,sell,9.3e-07,381.0,0.00035433
TCT/BTC,1583093436320,2020-03-01T20:10:36.320Z,sell,9.3e-07,452.0,0.00042036
TCT/BTC,1583093456053,2020-03-01T20:10:56.053Z,sell,9.3e-07,23578.0,0.02192754
TCT/BTC,1583093502512,2020-03-01T20:11:42.512Z,sell,9.3e-07,1039.0,0.00096627
TCT/BTC,1583093508742,2020-03-01T20:11:48.742Z,sell,9.3e-07,2497.0,0.00232221
TCT/BTC,1583093513569,2020-03-01T20:11:53.569Z,buy,9.4e-07,3786.0,0.00355884
TCT/BTC,1583093913996,2020-03-01T20:18:33.996Z,sell,9.3e-07,1862.0,0.0017316599999999
TCT/BTC,1583093932205,2020-03-01T20:18:52.205Z,sell,9.3e-07,114717.0,0.1066868099999999
TCT/BTC,1583094182842,2020-03-01T20:23:02.842Z,sell,9.2e-07,3786.0,0.0034831199999999
TCT/BTC,1583094192652,2020-03-01T20:23:12.652Z,buy,9.4e-07,3629.0,0.00341126
