symbol,timestamp,datetime,side,price,amount,btc_volume
VIBE/BTC,1535482862895,2018-08-28T19:01:02.895Z,sell,5.48e-06,1199.0,0.00657052
VIBE/BTC,1535483157934,2018-08-28T19:05:57.934Z,sell,5.49e-06,2.0,1.098e-05
VIBE/BTC,1535483203905,2018-08-28T19:06:43.905Z,sell,5.49e-06,187.0,0.00102663
VIBE/BTC,1535483219797,2018-08-28T19:06:59.797Z,buy,5.51e-06,3157.0,0.01739507
VIBE/BTC,1535483219797,2018-08-28T19:06:59.797Z,buy,5.52e-06,16843.0,0.0929733599999999
VIBE/BTC,1535483252555,2018-08-28T19:07:32.555Z,buy,5.52e-06,1664.0,0.0091852799999999
VIBE/BTC,1535483300677,2018-08-28T19:08:20.677Z,buy,5.52e-06,183.0,0.00101016
VIBE/BTC,1535483353532,2018-08-28T19:09:13.532Z,buy,5.52e-06,577.0,0.0031850399999999
VIBE/BTC,1535483353770,2018-08-28T19:09:13.770Z,sell,5.49e-06,730.0,0.0040077
VIBE/BTC,1535483400557,2018-08-28T19:10:00.557Z,sell,5.49e-06,1.0,5.49e-06
VIBE/BTC,1535483683016,2018-08-28T19:14:43.016Z,sell,5.49e-06,911.0,0.00500139
VIBE/BTC,1535483928898,2018-08-28T19:18:48.898Z,sell,5.49e-06,91.0,0.00049959
VIBE/BTC,1535483946218,2018-08-28T19:19:06.218Z,sell,5.49e-06,208.0,0.00114192
VIBE/BTC,1535484005813,2018-08-28T19:20:05.813Z,sell,5.49e-06,7234.0,0.03971466
VIBE/BTC,1535484020493,2018-08-28T19:20:20.493Z,buy,5.5e-06,2310.0,0.012705
VIBE/BTC,1535484029661,2018-08-28T19:20:29.661Z,buy,5.5e-06,803.0,0.0044165
VIBE/BTC,1535484054751,2018-08-28T19:20:54.751Z,buy,5.5e-06,18181.0,0.0999955
VIBE/BTC,1535484086134,2018-08-28T19:21:26.134Z,sell,5.49e-06,5897.0,0.03237453
VIBE/BTC,1535484089511,2018-08-28T19:21:29.511Z,buy,5.52e-06,4.0,2.208e-05
VIBE/BTC,1535484119242,2018-08-28T19:21:59.242Z,buy,5.52e-06,1110.0,0.0061271999999999
VIBE/BTC,1535484129683,2018-08-28T19:22:09.683Z,sell,5.49e-06,1.0,5.49e-06
VIBE/BTC,1535484137873,2018-08-28T19:22:17.873Z,sell,5.49e-06,143.0,0.00078507
VIBE/BTC,1535484195368,2018-08-28T19:23:15.368Z,buy,5.52e-06,5214.0,0.02878128
VIBE/BTC,1535484201860,2018-08-28T19:23:21.860Z,buy,5.53e-06,2923.0,0.01616419
VIBE/BTC,1535484212009,2018-08-28T19:23:32.009Z,buy,5.53e-06,4180.0,0.0231154
VIBE/BTC,1535484214600,2018-08-28T19:23:34.600Z,sell,5.49e-06,468.0,0.00256932
VIBE/BTC,1535484222655,2018-08-28T19:23:42.655Z,buy,5.54e-06,4928.0,0.02730112
VIBE/BTC,1535484229170,2018-08-28T19:23:49.170Z,buy,5.54e-06,183.0,0.00101382
VIBE/BTC,1535484238738,2018-08-28T19:23:58.738Z,buy,5.54e-06,359.0,0.00198886
VIBE/BTC,1535484238738,2018-08-28T19:23:58.738Z,buy,5.55e-06,141.0,0.00078255
VIBE/BTC,1535484246685,2018-08-28T19:24:06.685Z,buy,5.55e-06,42.0,0.0002331
VIBE/BTC,1535484246685,2018-08-28T19:24:06.685Z,buy,5.56e-06,190.0,0.0010564
VIBE/BTC,1535484246685,2018-08-28T19:24:06.685Z,buy,5.57e-06,68.0,0.00037876
VIBE/BTC,1535484257073,2018-08-28T19:24:17.073Z,buy,5.56e-06,539.0,0.00299684
VIBE/BTC,1535484257073,2018-08-28T19:24:17.073Z,buy,5.57e-06,49.0,0.00027293
VIBE/BTC,1535484257073,2018-08-28T19:24:17.073Z,buy,5.58e-06,5012.0,0.02796696
