symbol,timestamp,datetime,side,price,amount,btc_volume
WABI/BTC,1543942814366,2018-12-04T17:00:14.366Z,buy,4.139e-05,69.0,0.00285591
WABI/BTC,1543942814414,2018-12-04T17:00:14.414Z,buy,4.139e-05,69.0,0.00285591
WABI/BTC,1543942814434,2018-12-04T17:00:14.434Z,buy,4.139e-05,69.0,0.00285591
WABI/BTC,1543942818065,2018-12-04T17:00:18.065Z,buy,4.139e-05,47.0,0.00194533
WABI/BTC,1543942819376,2018-12-04T17:00:19.376Z,buy,4.131e-05,371.0,0.01532601
WABI/BTC,1543942819386,2018-12-04T17:00:19.386Z,sell,4.121e-05,471.0,0.01940991
WABI/BTC,1543942957026,2018-12-04T17:02:37.026Z,sell,4.122e-05,90.0,0.0037098
WABI/BTC,1543942957026,2018-12-04T17:02:37.026Z,sell,4.12e-05,618.0,0.0254615999999999
WABI/BTC,1543942957386,2018-12-04T17:02:37.386Z,buy,4.12e-05,579.0,0.0238548
WABI/BTC,1543943004112,2018-12-04T17:03:24.112Z,sell,4.119e-05,273.0,0.0112448699999999
WABI/BTC,1543943004336,2018-12-04T17:03:24.336Z,buy,4.119e-05,181.0,0.0074553899999999
WABI/BTC,1543943097245,2018-12-04T17:04:57.245Z,sell,4.128e-05,249.0,0.01027872
WABI/BTC,1543943097251,2018-12-04T17:04:57.251Z,sell,4.119e-05,315.0,0.01297485
WABI/BTC,1543943232346,2018-12-04T17:07:12.346Z,buy,4.119e-05,334.0,0.01375746
WABI/BTC,1543943266361,2018-12-04T17:07:46.361Z,buy,4.12e-05,464.0,0.0191168
WABI/BTC,1543943266406,2018-12-04T17:07:46.406Z,buy,4.12e-05,1963.0,0.0808755999999999
WABI/BTC,1543943273415,2018-12-04T17:07:53.415Z,buy,4.12e-05,39.0,0.0016068
WABI/BTC,1543943274989,2018-12-04T17:07:54.989Z,sell,4.118e-05,93.0,0.00382974
WABI/BTC,1543943276992,2018-12-04T17:07:56.992Z,sell,4.118e-05,169.0,0.00695942
WABI/BTC,1543943276992,2018-12-04T17:07:56.992Z,sell,4.117e-05,40.0,0.0016468
WABI/BTC,1543943276992,2018-12-04T17:07:56.992Z,sell,4.116e-05,38.0,0.00156408
WABI/BTC,1543943378302,2018-12-04T17:09:38.302Z,buy,4.116e-05,146.0,0.00600936
