symbol,timestamp,datetime,side,price,amount,btc_volume
XZC/BTC,1515693617299,2018-01-11T18:00:17.299Z,sell,0.006908,1.2,0.0082896
XZC/BTC,1515693617331,2018-01-11T18:00:17.331Z,buy,0.006908,6.99,0.04828692
XZC/BTC,1515693617365,2018-01-11T18:00:17.365Z,buy,0.006908,6.98,0.04821784
XZC/BTC,1515693622699,2018-01-11T18:00:22.699Z,sell,0.006907,0.71,0.00490397
XZC/BTC,1515693625168,2018-01-11T18:00:25.168Z,buy,0.006908,0.84,0.00580272
XZC/BTC,1515693633224,2018-01-11T18:00:33.224Z,sell,0.006907,0.31,0.00214117
XZC/BTC,1515693647374,2018-01-11T18:00:47.374Z,sell,0.006907,12.07,0.08336749
XZC/BTC,1515693657933,2018-01-11T18:00:57.933Z,buy,0.006907,1.5,0.0103605
XZC/BTC,1515693663417,2018-01-11T18:01:03.417Z,sell,0.006902,1.2,0.0082824
XZC/BTC,1515693667355,2018-01-11T18:01:07.355Z,buy,0.006902,0.18,0.00124236
XZC/BTC,1515693667355,2018-01-11T18:01:07.355Z,buy,0.006907,0.03,0.00020721
XZC/BTC,1515693667355,2018-01-11T18:01:07.355Z,buy,0.006947,0.1,0.0006947
XZC/BTC,1515693671053,2018-01-11T18:01:11.053Z,sell,0.006902,0.58,0.0040031599999999
XZC/BTC,1515693688937,2018-01-11T18:01:28.937Z,buy,0.006939,19.53,0.13551867
XZC/BTC,1515693689369,2018-01-11T18:01:29.369Z,buy,0.00694,1.5,0.0104099999999999
XZC/BTC,1515693689804,2018-01-11T18:01:29.804Z,buy,0.006941,1.5,0.0104115
XZC/BTC,1515693705608,2018-01-11T18:01:45.608Z,buy,0.006946,2.99,0.02076854
XZC/BTC,1515693706039,2018-01-11T18:01:46.039Z,buy,0.006947,10.0,0.06947
XZC/BTC,1515693706479,2018-01-11T18:01:46.479Z,buy,0.006946,4.88,0.03389648
XZC/BTC,1515693714604,2018-01-11T18:01:54.604Z,sell,0.006908,1.21,0.00835868
XZC/BTC,1515693728257,2018-01-11T18:02:08.257Z,sell,0.00691,1.05,0.0072555
XZC/BTC,1515693760608,2018-01-11T18:02:40.608Z,buy,0.006943,0.42,0.00291606
XZC/BTC,1515693766917,2018-01-11T18:02:46.917Z,buy,0.006943,0.63,0.00437409
XZC/BTC,1515693766965,2018-01-11T18:02:46.965Z,sell,0.006943,5.8,0.0402694
XZC/BTC,1515693772281,2018-01-11T18:02:52.281Z,buy,0.006948,20.0,0.13896
XZC/BTC,1515693779854,2018-01-11T18:02:59.854Z,buy,0.006948,0.71,0.00493308
XZC/BTC,1515693779863,2018-01-11T18:02:59.863Z,buy,0.006948,0.06,0.00041688
XZC/BTC,1515693782063,2018-01-11T18:03:02.063Z,buy,0.00695,2.0,0.0139
XZC/BTC,1515693797381,2018-01-11T18:03:17.381Z,buy,0.006996,1.03,0.00720588
XZC/BTC,1515693797381,2018-01-11T18:03:17.381Z,buy,0.007,2.0,0.014
XZC/BTC,1515693797437,2018-01-11T18:03:17.437Z,sell,0.007,1.04,0.00728
