symbol,timestamp,datetime,side,price,amount,btc_volume
YOYOW/BTC,1603217086894,2020-10-20T18:04:46.894Z,sell,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603217452934,2020-10-20T18:10:52.934Z,buy,5.6e-07,48072.0,0.02692032
YOYOW/BTC,1603219189717,2020-10-20T18:39:49.717Z,sell,5.6e-07,185383.0,0.10381448
YOYOW/BTC,1603219636151,2020-10-20T18:47:16.151Z,sell,5.6e-07,384.0,0.00021504
YOYOW/BTC,1603220241590,2020-10-20T18:57:21.590Z,sell,5.6e-07,7995.0,0.0044772
YOYOW/BTC,1603220369842,2020-10-20T18:59:29.842Z,sell,5.6e-07,4576.0,0.00256256
YOYOW/BTC,1603220369842,2020-10-20T18:59:29.842Z,sell,5.6e-07,4576.0,0.00256256
YOYOW/BTC,1603220413729,2020-10-20T19:00:13.729Z,sell,5.6e-07,1658.0,0.00092848
YOYOW/BTC,1603220413745,2020-10-20T19:00:13.745Z,sell,5.6e-07,79585.0,0.0445676
YOYOW/BTC,1603220476079,2020-10-20T19:01:16.079Z,sell,5.6e-07,21898.0,0.01226288
YOYOW/BTC,1603220580493,2020-10-20T19:03:00.493Z,sell,5.6e-07,9434.0,0.00528304
YOYOW/BTC,1603221842592,2020-10-20T19:24:02.592Z,buy,5.7e-07,1800.0,0.001026
YOYOW/BTC,1603223774230,2020-10-20T19:56:14.230Z,buy,5.7e-07,228.0,0.00012996
YOYOW/BTC,1603223774230,2020-10-20T19:56:14.230Z,buy,5.7e-07,228.0,0.00012996
YOYOW/BTC,1603224144562,2020-10-20T20:02:24.562Z,buy,5.7e-07,10012.0,0.00570684
YOYOW/BTC,1603224254358,2020-10-20T20:04:14.358Z,buy,5.7e-07,7877.0,0.00448989
YOYOW/BTC,1603224254496,2020-10-20T20:04:14.496Z,buy,5.7e-07,9059.0,0.00516363
YOYOW/BTC,1603224704155,2020-10-20T20:11:44.155Z,buy,5.7e-07,3303.0,0.00188271
YOYOW/BTC,1603224705429,2020-10-20T20:11:45.429Z,buy,5.7e-07,7554.0,0.00430578
YOYOW/BTC,1603224894273,2020-10-20T20:14:54.273Z,buy,5.7e-07,4971.0,0.00283347
YOYOW/BTC,1603225076854,2020-10-20T20:17:56.854Z,buy,5.7e-07,238.0,0.00013566
YOYOW/BTC,1603225081370,2020-10-20T20:18:01.370Z,buy,5.7e-07,3363.0,0.00191691
YOYOW/BTC,1603225085617,2020-10-20T20:18:05.617Z,buy,5.7e-07,6750.0,0.0038475
YOYOW/BTC,1603225127213,2020-10-20T20:18:47.213Z,buy,5.7e-07,4442.0,0.00253194
YOYOW/BTC,1603225387507,2020-10-20T20:23:07.507Z,sell,5.6e-07,182885.0,0.1024156
YOYOW/BTC,1603225387507,2020-10-20T20:23:07.507Z,sell,5.5e-07,188373.0,0.10360515
YOYOW/BTC,1603225395635,2020-10-20T20:23:15.635Z,sell,5.6e-07,182.0,0.00010192
YOYOW/BTC,1603225396106,2020-10-20T20:23:16.106Z,sell,5.6e-07,1378.0,0.00077168
YOYOW/BTC,1603225423951,2020-10-20T20:23:43.951Z,buy,5.7e-07,14485.0,0.00825645
YOYOW/BTC,1603225454237,2020-10-20T20:24:14.237Z,buy,5.7e-07,1149.0,0.00065493
YOYOW/BTC,1603225541091,2020-10-20T20:25:41.091Z,sell,5.7e-07,2124.0,0.00121068
YOYOW/BTC,1603225927720,2020-10-20T20:32:07.720Z,buy,5.7e-07,708.0,0.00040356
YOYOW/BTC,1603225975498,2020-10-20T20:32:55.498Z,buy,5.7e-07,2027.0,0.00115539
YOYOW/BTC,1603226022931,2020-10-20T20:33:42.931Z,buy,5.7e-07,2025.0,0.00115425
YOYOW/BTC,1603226129130,2020-10-20T20:35:29.130Z,sell,5.6e-07,116008.0,0.06496448
YOYOW/BTC,1603226129130,2020-10-20T20:35:29.130Z,sell,5.5e-07,111090.0,0.0610995
YOYOW/BTC,1603226129367,2020-10-20T20:35:29.367Z,buy,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603226129381,2020-10-20T20:35:29.381Z,buy,5.5e-07,426.0,0.0002343
YOYOW/BTC,1603226143673,2020-10-20T20:35:43.673Z,buy,5.5e-07,63144.0,0.0347292
YOYOW/BTC,1603226168671,2020-10-20T20:36:08.671Z,buy,5.5e-07,364.0,0.0002002
YOYOW/BTC,1603226183152,2020-10-20T20:36:23.152Z,buy,5.5e-07,2025.0,0.00111375
YOYOW/BTC,1603226185918,2020-10-20T20:36:25.918Z,buy,5.5e-07,101961.0,0.05607855
YOYOW/BTC,1603226244162,2020-10-20T20:37:24.162Z,buy,5.5e-07,113454.0,0.0623997
YOYOW/BTC,1603226287905,2020-10-20T20:38:07.905Z,buy,5.5e-07,2294.0,0.0012617
YOYOW/BTC,1603226288486,2020-10-20T20:38:08.486Z,buy,5.5e-07,1667.0,0.00091685
YOYOW/BTC,1603226341419,2020-10-20T20:39:01.419Z,buy,5.5e-07,273493.0,0.15042115
YOYOW/BTC,1603226465012,2020-10-20T20:41:05.012Z,buy,5.5e-07,2413.0,0.00132715
YOYOW/BTC,1603226476054,2020-10-20T20:41:16.054Z,sell,5.4e-07,2413.0,0.00130302
YOYOW/BTC,1603226476054,2020-10-20T20:41:16.054Z,sell,5.4e-07,107976.0,0.05830704
YOYOW/BTC,1603226476054,2020-10-20T20:41:16.054Z,sell,5.4e-07,8832.0,0.00476928
YOYOW/BTC,1603226476309,2020-10-20T20:41:16.309Z,buy,5.4e-07,124354.0,0.06715116
YOYOW/BTC,1603226478583,2020-10-20T20:41:18.583Z,sell,5.4e-07,10521.0,0.00568134
YOYOW/BTC,1603226480056,2020-10-20T20:41:20.056Z,sell,5.4e-07,7496.0,0.00404784
YOYOW/BTC,1603226483366,2020-10-20T20:41:23.366Z,sell,5.4e-07,1378.0,0.00074412
YOYOW/BTC,1603226512118,2020-10-20T20:41:52.118Z,buy,5.5e-07,251581.0,0.13836955
YOYOW/BTC,1603226544156,2020-10-20T20:42:24.156Z,buy,5.5e-07,113490.0,0.0624195
YOYOW/BTC,1603226551353,2020-10-20T20:42:31.353Z,buy,5.5e-07,32232.0,0.0177276
YOYOW/BTC,1603226564953,2020-10-20T20:42:44.953Z,buy,5.5e-07,16536.0,0.0090948
YOYOW/BTC,1603226624380,2020-10-20T20:43:44.380Z,buy,5.5e-07,999502.0,0.5497261
YOYOW/BTC,1603226626693,2020-10-20T20:43:46.693Z,buy,5.5e-07,72988.0,0.0401434
YOYOW/BTC,1603226640739,2020-10-20T20:44:00.739Z,buy,5.5e-07,161283.0,0.08870565
YOYOW/BTC,1603226681170,2020-10-20T20:44:41.170Z,buy,5.6e-07,1149.0,0.00064344
YOYOW/BTC,1603226931948,2020-10-20T20:48:51.948Z,buy,5.6e-07,44915.0,0.0251524
YOYOW/BTC,1603226931948,2020-10-20T20:48:51.948Z,buy,5.6e-07,44915.0,0.0251524
YOYOW/BTC,1603227769364,2020-10-20T21:02:49.364Z,sell,5.6e-07,426159.0,0.23864904
YOYOW/BTC,1603227769597,2020-10-20T21:02:49.597Z,buy,5.6e-07,2000.0,0.00112
YOYOW/BTC,1603227769598,2020-10-20T21:02:49.598Z,buy,5.6e-07,2000.0,0.00112
YOYOW/BTC,1603227769598,2020-10-20T21:02:49.598Z,buy,5.6e-07,2000.0,0.00112
YOYOW/BTC,1603227769599,2020-10-20T21:02:49.599Z,buy,5.6e-07,2000.0,0.00112
YOYOW/BTC,1603228043531,2020-10-20T21:07:23.531Z,buy,5.6e-07,281.0,0.00015736
YOYOW/BTC,1603228676834,2020-10-20T21:17:56.834Z,buy,5.6e-07,397.0,0.00022232
YOYOW/BTC,1603229418922,2020-10-20T21:30:18.922Z,sell,5.5e-07,39724.0,0.0218482
YOYOW/BTC,1603230347613,2020-10-20T21:45:47.613Z,buy,5.6e-07,6759.0,0.00378504
YOYOW/BTC,1603230382196,2020-10-20T21:46:22.196Z,buy,5.6e-07,2000.0,0.00112
YOYOW/BTC,1603230413169,2020-10-20T21:46:53.169Z,buy,5.6e-07,6059.0,0.00339304
YOYOW/BTC,1603230413169,2020-10-20T21:46:53.169Z,buy,5.6e-07,6059.0,0.00339304
YOYOW/BTC,1603231312965,2020-10-20T22:01:52.965Z,buy,5.6e-07,1095.0,0.0006132
YOYOW/BTC,1603231313197,2020-10-20T22:01:53.197Z,buy,5.6e-07,1000.0,0.00056
YOYOW/BTC,1603231313199,2020-10-20T22:01:53.199Z,buy,5.6e-07,1000.0,0.00056
YOYOW/BTC,1603231313200,2020-10-20T22:01:53.200Z,buy,5.6e-07,1000.0,0.00056
YOYOW/BTC,1603231398753,2020-10-20T22:03:18.753Z,buy,5.6e-07,3967.0,0.00222152
YOYOW/BTC,1603231743933,2020-10-20T22:09:03.933Z,sell,5.5e-07,284.0,0.0001562
YOYOW/BTC,1603232927212,2020-10-20T22:28:47.212Z,buy,5.6e-07,57514.0,0.03220784
YOYOW/BTC,1603232927212,2020-10-20T22:28:47.212Z,buy,5.6e-07,57514.0,0.03220784
YOYOW/BTC,1603234391724,2020-10-20T22:53:11.724Z,sell,5.5e-07,1777.0,0.00097735
YOYOW/BTC,1603234567874,2020-10-20T22:56:07.874Z,sell,5.5e-07,1335.0,0.00073425
YOYOW/BTC,1603235344714,2020-10-20T23:09:04.714Z,buy,5.6e-07,1818.0,0.00101808
YOYOW/BTC,1603235976014,2020-10-20T23:19:36.014Z,sell,5.5e-07,204403.0,0.11242165
YOYOW/BTC,1603235976014,2020-10-20T23:19:36.014Z,sell,5.5e-07,204403.0,0.11242165
YOYOW/BTC,1603237169419,2020-10-20T23:39:29.419Z,sell,5.5e-07,4348.0,0.0023914
YOYOW/BTC,1603238037044,2020-10-20T23:53:57.044Z,sell,5.5e-07,260967.0,0.14353185
YOYOW/BTC,1603238142123,2020-10-20T23:55:42.123Z,sell,5.5e-07,3727.0,0.00204985
YOYOW/BTC,1603238572923,2020-10-21T00:02:52.923Z,buy,5.5e-07,453.0,0.00024915
YOYOW/BTC,1603238573154,2020-10-21T00:02:53.154Z,buy,5.5e-07,4000.0,0.0022
YOYOW/BTC,1603238573155,2020-10-21T00:02:53.155Z,buy,5.5e-07,4000.0,0.0022
YOYOW/BTC,1603238573158,2020-10-21T00:02:53.158Z,buy,5.5e-07,4000.0,0.0022
YOYOW/BTC,1603238573159,2020-10-21T00:02:53.159Z,buy,5.5e-07,4000.0,0.0022
YOYOW/BTC,1603238681284,2020-10-21T00:04:41.284Z,buy,5.5e-07,50858.0,0.0279719
YOYOW/BTC,1603238935085,2020-10-21T00:08:55.085Z,buy,5.5e-07,9091.0,0.00500005
YOYOW/BTC,1603239055458,2020-10-21T00:10:55.458Z,buy,5.5e-07,365.0,0.00020075
YOYOW/BTC,1603239335443,2020-10-21T00:15:35.443Z,buy,5.5e-07,288.0,0.0001584
YOYOW/BTC,1603239404725,2020-10-21T00:16:44.725Z,buy,5.5e-07,1818.0,0.0009999
YOYOW/BTC,1603239458848,2020-10-21T00:17:38.848Z,buy,5.5e-07,1818.0,0.0009999
YOYOW/BTC,1603239458848,2020-10-21T00:17:38.848Z,buy,5.5e-07,1818.0,0.0009999
YOYOW/BTC,1603239971074,2020-10-21T00:26:11.074Z,buy,5.5e-07,1818.0,0.0009999
YOYOW/BTC,1603240012936,2020-10-21T00:26:52.936Z,buy,5.5e-07,10000.0,0.0055
YOYOW/BTC,1603241590875,2020-10-21T00:53:10.875Z,sell,5.4e-07,305223.0,0.16482042
YOYOW/BTC,1603241591667,2020-10-21T00:53:11.667Z,buy,5.4e-07,18500.0,0.00999
YOYOW/BTC,1603241592227,2020-10-21T00:53:12.227Z,buy,5.4e-07,3700.0,0.001998
YOYOW/BTC,1603241602218,2020-10-21T00:53:22.218Z,sell,5.3e-07,1378.0,0.00073034
YOYOW/BTC,1603241605093,2020-10-21T00:53:25.093Z,sell,5.3e-07,11395.0,0.00603935
YOYOW/BTC,1603241605184,2020-10-21T00:53:25.184Z,sell,5.3e-07,26000.0,0.01378
YOYOW/BTC,1603241605333,2020-10-21T00:53:25.333Z,sell,5.3e-07,10462.0,0.00554486
YOYOW/BTC,1603241686460,2020-10-21T00:54:46.460Z,buy,5.4e-07,10182.0,0.00549828
YOYOW/BTC,1603242005219,2020-10-21T01:00:05.219Z,sell,5.3e-07,295.0,0.00015635
YOYOW/BTC,1603242022049,2020-10-21T01:00:22.049Z,buy,5.4e-07,8365.0,0.0045171
YOYOW/BTC,1603242037483,2020-10-21T01:00:37.483Z,buy,5.4e-07,1852.0,0.00100008
YOYOW/BTC,1603242037718,2020-10-21T01:00:37.718Z,buy,5.4e-07,2000.0,0.00108
YOYOW/BTC,1603242144260,2020-10-21T01:02:24.260Z,buy,5.4e-07,185185.0,0.0999999
YOYOW/BTC,1603242157675,2020-10-21T01:02:37.675Z,buy,5.5e-07,1818.0,0.0009999
YOYOW/BTC,1603242202069,2020-10-21T01:03:22.069Z,sell,5.4e-07,4629.0,0.00249966
YOYOW/BTC,1603242271731,2020-10-21T01:04:31.731Z,buy,5.4e-07,4629.0,0.00249966
YOYOW/BTC,1603242341211,2020-10-21T01:05:41.211Z,sell,5.4e-07,10000.0,0.0054
YOYOW/BTC,1603242424018,2020-10-21T01:07:04.018Z,sell,5.4e-07,8214.0,0.00443556
YOYOW/BTC,1603242433009,2020-10-21T01:07:13.009Z,buy,5.4e-07,67028.0,0.03619512
YOYOW/BTC,1603243048291,2020-10-21T01:17:28.291Z,buy,5.5e-07,41675.0,0.02292125
YOYOW/BTC,1603243048291,2020-10-21T01:17:28.291Z,buy,5.5e-07,41675.0,0.02292125
YOYOW/BTC,1603243307150,2020-10-21T01:21:47.150Z,buy,5.5e-07,10000.0,0.0055
YOYOW/BTC,1603244050336,2020-10-21T01:34:10.336Z,sell,5.4e-07,61771.0,0.03335634
YOYOW/BTC,1603244050336,2020-10-21T01:34:10.336Z,sell,5.3e-07,229.0,0.00012137
YOYOW/BTC,1603244155234,2020-10-21T01:35:55.234Z,buy,5.4e-07,4629.0,0.00249966
YOYOW/BTC,1603244645584,2020-10-21T01:44:05.584Z,buy,5.5e-07,18367.0,0.01010185
YOYOW/BTC,1603245018331,2020-10-21T01:50:18.331Z,sell,5.4e-07,1000.0,0.00054
YOYOW/BTC,1603245039479,2020-10-21T01:50:39.479Z,sell,5.4e-07,61550.0,0.033237
YOYOW/BTC,1603245039479,2020-10-21T01:50:39.479Z,sell,5.3e-07,450.0,0.0002385
YOYOW/BTC,1603245202289,2020-10-21T01:53:22.289Z,sell,5.3e-07,80370.0,0.0425961
YOYOW/BTC,1603245226946,2020-10-21T01:53:46.946Z,sell,5.3e-07,9433.0,0.00499949
YOYOW/BTC,1603245293461,2020-10-21T01:54:53.461Z,sell,5.3e-07,9433.0,0.00499949
YOYOW/BTC,1603245333326,2020-10-21T01:55:33.326Z,buy,5.4e-07,4629.0,0.00249966
YOYOW/BTC,1603245640951,2020-10-21T02:00:40.951Z,sell,5.4e-07,32392.0,0.01749168
YOYOW/BTC,1603246058098,2020-10-21T02:07:38.098Z,buy,5.5e-07,136308.0,0.0749694
YOYOW/BTC,1603246070645,2020-10-21T02:07:50.645Z,buy,5.5e-07,68067.0,0.03743685
YOYOW/BTC,1603246070645,2020-10-21T02:07:50.645Z,buy,5.6e-07,65807.0,0.03685192
YOYOW/BTC,1603246077954,2020-10-21T02:07:57.954Z,buy,5.5e-07,293.0,0.00016115
YOYOW/BTC,1603246105824,2020-10-21T02:08:25.824Z,sell,5.4e-07,1000.0,0.00054
YOYOW/BTC,1603246111375,2020-10-21T02:08:31.375Z,buy,5.5e-07,4336.0,0.0023848
YOYOW/BTC,1603246128555,2020-10-21T02:08:48.555Z,sell,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603246128555,2020-10-21T02:08:48.555Z,sell,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603246920595,2020-10-21T02:22:00.595Z,sell,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603246957688,2020-10-21T02:22:37.688Z,sell,5.5e-07,1000.0,0.00055
YOYOW/BTC,1603246999642,2020-10-21T02:23:19.642Z,sell,5.5e-07,9999.0,0.00549945
